OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
00031614001,1,UVW1,image,1,2010-02-12T16:16:00,2010-02-12T16:16:58,2010-02-12T16:16:29.000,57.9540209780835,1200,143.574591791483,12.4788697540674,229.998419550448,DIRECT,False,False,False,540.2034562486396,603.0971273198761,143.57295,12.47709,5.2072249839997,6.193639751767,177.3655
00031614002,1,UV grism,image,1,2010-02-12T16:19:16,2010-02-12T16:37:21,2010-02-12T16:28:18.500,1067.6696745649,200,143.57102322356,12.4771407441809,230.00341526157,NONE,False,False,False,1511.6709109945818,779.2402574622517,143.57163,12.47741,5.20724257567653,6.193641401622,177.3567
00031614002,2,UVW1,image,1,2010-02-12T16:17:21,2010-02-12T16:19:09,2010-02-12T16:18:15.000,106.069836807496,1200,143.57102322356,12.4771407441809,230.00341526157,DIRECT,False,False,False,528.4574896820253,610.9948885870766,143.57275,12.47714,5.20722594780409,6.19363999826,177.3642
00031614002,3,UVW2,event,1,2010-02-12T16:37:27,2010-02-12T16:38:58,2010-02-12T16:38:12.500,90.1859501942846,400,143.57102322356,12.4771407441809,230.00341526157,DIRECT,False,False,False,1073.9677257459175,1228.0154633771856,143.57067,12.47763,5.20727258240991,6.193642782864,177.3492
00031620002,1,UV grism,image,1,2010-02-13T12:52:42,2010-02-13T13:04:57,2010-02-13T12:58:49.500,723.192418352665,200,143.478325602693,12.4926001877186,230.003836096526,NONE,False,False,False,1555.4625210441882,824.4868256546499,143.4712,12.49987,5.20783383860219,6.193812991732,176.5994
00031620002,2,UVW1,image,1,2010-02-13T12:51:23,2010-02-13T12:52:35,2010-02-13T12:51:59.000,71.6144952064899,1200,143.478325602693,12.4926001877186,230.003836096526,DIRECT,False,False,False,553.5293327815649,636.3872055208062,143.47189,12.49968,5.20784604269138,6.193812038201,176.6036
00031620002,3,UVW2,event,1,2010-02-13T13:05:02,2010-02-13T13:06:00,2010-02-13T13:05:31.000,56.5898593627085,400,143.478325602693,12.4926001877186,230.003836096526,DIRECT,False,False,False,1127.574972261547,1281.0756689055268,143.47046,12.50007,5.20782872003315,6.193813924344,176.5945
00031621002,1,UV grism,image,1,2010-02-13T14:29:36,2010-02-13T14:41:01,2010-02-13T14:35:18.500,673.979857612137,200,143.469500119805,12.4944451749299,230.004161065274,NONE,False,False,False,1550.8117572139417,825.0666580989902,143.46327,12.50165,5.20789002652423,6.193826437838,176.5355
00031621002,2,UVW1,image,1,2010-02-13T14:28:22,2010-02-13T14:29:29,2010-02-13T14:28:55.500,66.7062880488129,1200,143.469500119805,12.4944451749299,230.004161065274,DIRECT,False,False,False,552.5306412999071,635.6928898859159,143.46392,12.50147,5.20790105602887,6.193825548263,176.5395
00031621002,3,UVW2,event,1,2010-02-13T14:41:06,2010-02-13T14:42:00,2010-02-13T14:41:33.000,52.8748317377411,400,143.469500119805,12.4944451749299,230.004161065274,DIRECT,False,False,False,1122.8553109244751,1281.6732051484523,143.46259,12.50183,5.20788522484305,6.193827307658,176.5309
